,album_id,album_artist,album_name
0,0,4,Ella Sings Gershwin
1,1,727,The Stardust Road
2,2,728,"The Complete Columbia Recording Sessions, Vol. 1 - 1950-1951"
3,11,731,15 EXITOS
4,3,1,"Dean Martin: The Capitol Recordings, Vol. 1 (1948-1950)"
5,13,736,Mis 30 Mejores Canciones
6,8,731,Personalidad
7,4,31,"Mussorgsky: Pictures at an Exhibition, Night on Bald Mountain & Songs and Dances of Death"
8,6,728,16 Biggest Hits
9,5,730,Greatest Hits
10,14,734,A Square In The Social Circle (Expanded Edition)
11,10,1949,Love Concert The Album Vol. 1
12,16,1950,Radio Hits Of the '50s
13,9,1950,Cinco Gallos De La Canción Ranchera
14,7,34,Rubinstein: The Liszt Album
15,12,37,"Tea For Two (with Gene Nelson, Axel Stordahl & His Orchestra & The Page Cavanaugh Trio)"
16,18,33,El Cristo De La Montaña
17,2815,1950,Guys & Dolls (Original Cast Recording)
18,17,738,Voice Of The Xtaby
19,15,735,Piano Moods
20,2816,1951,Trashfire
21,2817,1952,September In The Rain
22,19,740,Esquivel Remixed
23,2818,1950,Pleasure Dome: Audible Modern Poetry Read by its Creators
24,2819,1953,Selected Favorites
25,2820,1950,16 Most Requested Songs Of The 1950s. Volume Two
26,2821,1954,Music For Peace Of Mind: Featuring The Theremin With Orchestra
27,2822,115,Piano Moods
28,2823,1955,South Pacific - Original 1949 Broadway Cast Recording
29,2824,1956,Baazi (Original Motion Picture Soundtrack)
30,2825,1957,Samadhi (Original Motion Picture Soundtrack)
31,2826,1958,Benny Goodman Sextet
32,2827,1959,Makes It Happen
33,2828,1960,Gandagana
34,2829,1961,"Hardrock, Coco and Joe"
35,2830,1962,Haywire Mac
36,2831,59,Your Dance Date With Percy Faith
37,2832,67,Harmony Time
38,2833,31,The Original Jacket Collection - Carnegie Hall Presents: Bernstein Conducts Bernstein
39,2834,8,Chopin: Waltzes [2011 - Remaster] (2011 Remastered Version)
40,2835,30,Schubert: Violin Sonatas; Haydn: Violin Concerto
41,2836,1963,Gentlemen Prefer Blondes (Original Broadway Cast Recording)
42,2837,1964,"Dreams, Pleas & Blues"
43,2838,1965,Andaz (Original Motion Picture Soundtrack)
44,2839,1966,Sones of Mexico
45,2840,1967,Piano Moods (Expanded Edition)
46,2841,1968,Jogan (Original Motion Picture Soundtrack)
47,2842,1969,Milestones
48,2843,1970,Más allá del Sol
49,2844,1971,Arzoo (Original Motion Picture Soundtrack)
50,2845,59,American Waltzes
51,2846,1950,Le canzoni dei ricordi - non dimenticar…
52,2847,1956,Naujawan (Original Motion Picture Soundtrack)
53,2848,1972,Afro-Cuban Jazz Suite
54,2849,1973,Pathala Bhairavi (Original Motion Picture Soundtrack)
55,2850,45,Puccini: La Bohème
56,2851,1956,Bahar (Original Motion Picture Soundtrack)
57,2852,1950,Music of the American Indians of the Southwest
58,2853,1974,A Tree Grows in Brooklyn (Original Broadway Cast Recording)
59,2854,1950,"Negro Folk Music of Alabama, Vol. 1: Secular Music"
60,2855,1975,Meet the Composer - Francis Poulenc Playing His Own Works
61,2856,1976,Sea Shanties and Loggers' Songs
62,2857,1977,"Never-Before-Released and Rare Live Recordings, Vol. 1"
63,2858,242,Kay Starr And Tennessee Ernie Ford
64,2859,1978,Horowitz plays Scriabin (Remastered)
65,2860,1950,"Music of Haiti: Vol. 1, Folk Music of Haiti"
66,2861,1950,Songs and Dances of Yugoslavia
67,2862,1979,Traditional Blues - Vol. 1
68,2863,1980,Pebble In The Sky (Radio Drama)
69,2864,1981,Waldteufel - Mozart - Strauss - Paganini - Bach - Glinka
70,2865,1950,"Songs to Grow On, Vol. 3: This Land is My Land"
71,2866,73,Bizet: Carmen
72,2867,1982,Amar Bhoopali (Original Motion Picture Soundtrack)
73,2868,1983,Out of This World (Original Broadway Cast Recording)
74,2869,1984,Rajput (Original Motion Picture Soundtrack)
75,2870,1950,"Negro Folk Music of Alabama, Vol. 2: Religious Music"
76,2871,1985,"NPR Milestones of the Millennium: Preludes, Fugues and Riffs: Jazz in Classical Music"
77,2872,1986,Collates
78,2873,1987,Malhar (Original Motion Picture Soundtrack)
79,2874,1950,Music of India: Traditional & Classical
80,2875,1950,Folk Music of Rumania
81,2876,59,Carefree Rhythms
82,2877,1988,"Keno Chharao Phulbaan (From ""Nastaneer"") - Single"
83,2878,1989,Quiero Saber
84,2879,1990,For Ladies Only (Original Motion Picture Soundtrack)
85,2880,12,"Beethoven: Piano Concerto No. 5, Op. 73 ""Emperor"""
86,2881,1991,"Jean Cocteau, le poète du temps perdu"
87,2882,1992,Dasavtaar (Original Motion Picture Soundtrack)
88,2883,12,"Beethoven: Piano Concerto No. 5, Op. 73 ""Emperor"""
89,2884,767,"Dam Todte Hai Armaan (From ""Shagan"") - Single"
90,2885,1971,Aaram (Original Motion Picture Soundtrack)
91,2886,1993,Hem Okudum Hem de Yazdım
92,2887,1994,After Hours
93,2888,1950,Escucha Mi Ritmo
94,2889,1995,I´m a Fool to Want You
95,2890,70,Ernani
96,2891,70,Cetra Verdi Collection: Luisa Miller
97,2892,1996,Garip Garip Dolaştım
98,2893,786,"Hai Yeh Mausam-E-Bahar (From ""Shabistan"") - Single"
99,2894,70,Cetra Verdi Collection: Ernani
100,2895,1950,Spanish and Mexican Folk Music of New Mexico
101,2896,1997,Of Thee I Sing
102,2897,1998,Folk Songs of French Canada
103,2898,9,"Schubert: Symphony No.9 In C Major, D. 944 ""The Great"" / Haydn: Symphony In G Major, Hob.I: 88"
104,2899,1965,Aan (Original Motion Picture Soundtrack)
105,2900,81,Mahler: Das Lied von der Erde; 3 Rückert Lieder
106,2901,1999,"All Time Greats, Vol. 1 & 2"
107,2902,37,April In Paris (Expanded Edition)
108,2903,2000,Daag (Original Motion Picture Soundtrack)
109,2904,2001,Limelight (Original Motion Picture Soundtrack)
110,2905,1987,Anhonee (Original Motion Picture Soundtrack)
111,2906,2002,Abbey Road 1952
112,2907,2003,The Art Of Mabel Mercer
113,2908,29,"Brahms: concerto for violin and orchestra in D, op.77"
114,2909,2004,"Footnotes to Jazz, Vol. 2: Jazz Rehearsal, II"
115,2910,2005,Sonny Terry - Harmonica and Vocal Solos
116,2911,1950,Folk Music of Yugoslavia
117,2912,2006,Get on Board: Negro Folksongs by the Folkmasters
118,2913,30,Rudolf Serkin Plays Schubert
119,2914,269,I Only Have Eyes For You
120,2915,2007,"The Sound Of Worms - And Fish, And Rats!"
121,2916,1950,My Little Broadway
122,2917,755,I'm In the Mood for Love
123,2918,1950,Folk Music of Japan
124,2919,3,"Bach, J.S.: St. Matthew Passion"
125,2920,2008,K.C. Douglas: A Dead Beat Guitar and the Mississippi Blues
126,2921,2009,Top Banana
127,2922,2010,Haitian Piano
128,2923,2011,Parasakthi (Original Motion Picture Soundtrack)
129,2924,1950,Religious Music of India
130,2925,2012,Mahaprasthaner Pathe (Original Motion Picture Soundtrack)
131,2926,2013,Smetana: Má Vlast
132,2927,2014,Tamasha (Original Motion Picture Soundtrack)
133,2928,2015,Lanka Dahan (Original Motion Picture Soundtrack)
134,2929,799,I'll Walk Alone (Live)
135,2930,2016,"Got My Application, Baby / Trouble"
136,2931,8,Maryla Jonas: A Piano Recital of Chopin
137,2932,2017,Kanchana (Original Motion Picture Soundtrack)
138,2933,72,"Wagner: Die Walküre & Tristan und Isolde (Excerpts), Siegfried Idyll"
139,2934,759,Nouka Baoar Gaan - Single
140,2935,2018,Jambalaya
141,2936,2019,"Charles Munch Conducts French Music: Ravel, Saint-Saëns, Berlioz and Lalo"
142,2937,2020,Ela El Abd 3
143,2938,12,"Beethoven: Piano Trios, Op. 70, Nos. 1 & 2; Variations"
144,2939,2021,Little Overture
145,2940,2022,Night and Day
146,2941,1981,"Strauss: Don Juan, Op. 20, Till Eulenspiegel, Op. 28 & Salome: Tanz der sieben Schleier - Wagner: Siegfried Idyll"
147,2942,2023,Mai Bahini (Original Motion Picture Soundtrack)
148,2943,2024,Becky
149,2944,2025,Roller Coaster (Live)
150,2945,16,Debussy: Piano Works
151,2946,2026,Smoky Mountain Ballads
152,2947,45,Puccini : Tosca
153,2948,758,900 Miles and other R.R. Songs
154,2949,2027,Ray Anthony Concert
155,2950,2028,Concert Favorites: Liberace
156,2951,2029,Brathuku Theruvu (Original Motion Picture Soundtrack)
157,2952,68,The Dizzy Gillespie Story
158,2953,2030,Can-Can
159,2954,781,The Complete Paris Sessions Vol.1
160,2955,2031,King of Killing Time
161,2956,209,Dance Session
162,2957,2029,Devadasu (Original Motion Picture Soundtrack)
163,2958,78,"Debut Rarities, vol. 1"
164,2959,768,Chet Baker Quartet
165,2960,60,Benny Goodman - Collector's Edition
166,2961,2032,"Wardell Gray Memorial, Vol. 1"
167,2962,2033,New Faces - New Sounds
