,artist_id,artist_name,artist_genre,artist_popularity,artist_followers
0,0,Frank Sinatra,1,85,4367053
1,1,Dean Martin,1,81,1002145
2,2,Perry Como,1,75,288057
3,3,Johann Sebastian Bach,2,79,2936106
4,4,Ella Fitzgerald,1,77,1800735
5,5,Louis Armstrong,1,75,2151204
6,6,London Symphony Orchestra,3,76,208417
7,7,Wolfgang Amadeus Mozart,4,77,3777757
8,8,Frédéric Chopin,4,76,2206803
9,9,Berliner Philharmoniker,4,74,129242
10,10,Tony Bennett,1,73,589080
11,11,Pyotr Ilyich Tchaikovsky,4,73,845581
12,12,Ludwig van Beethoven,4,75,3563939
13,13,Mitchell Ayres & His Orchestra,0,70,366
14,14,Gene Autry,1,69,36191
15,15,Traditional,5,72,31894
16,16,Claude Debussy,4,70,1043323
17,17,Royal Philharmonic Orchestra,3,72,97345
18,18,Peggy Lee,1,66,277972
19,19,Boris Karloff,6,61,3989
20,20,Johnny Mathis,1,65,249097
21,21,Erik Satie,4,69,503359
22,22,Wiener Philharmoniker,7,70,80992
23,23,Marty Robbins,8,63,278996
24,24,George Frideric Handel,2,69,576161
25,25,London Philharmonic Orchestra,3,69,235798
26,26,Miles Davis,9,66,1966449
27,27,The Drifters,1,64,317028
28,28,Herbert von Karajan,4,69,111464
29,29,Johannes Brahms,4,65,641033
30,30,Franz Schubert,4,66,763136
31,31,Leonard Bernstein,10,63,133882
32,32,Boston Pops Orchestra,1,61,16550
33,33,José Alfredo Jimenez,11,65,1013876
34,34,Franz Liszt,4,64,512821
35,35,Sergei Rachmaninoff,4,64,420697
36,36,Maurice Ravel,4,62,332625
37,37,Doris Day,1,63,270959
38,38,Edvard Grieg,4,64,367491
39,39,Felix Mendelssohn,4,62,351081
40,40,Antonín Dvořák,4,62,374414
41,41,Dave Brubeck,10,60,287919
42,42,Philadelphia Orchestra,12,62,26242
43,43,Robert Schumann,4,61,390026
44,44,Javier Solís,13,64,958579
45,45,Giacomo Puccini,4,64,298549
46,46,New York Philharmonic,12,59,75324
47,47,Ray Conniff,1,62,176679
48,48,New York City Ballet Orchestra,0,54,2241
49,49,Zubin Mehta,14,62,19414
50,50,Thelonious Monk,9,58,459702
51,51,Boston Symphony Orchestra,12,59,41231
52,52,Philharmonia Orchestra,3,61,42577
53,53,Franz Joseph Haydn,4,59,431028
54,54,Arthur Fiedler,15,55,5899
55,55,Steel Pulse,16,56,421024
56,56,Tammy Wynette,17,56,348937
57,57,Eugene Ormandy,14,57,8077
58,58,Sergei Prokofiev,4,58,174146
59,59,Percy Faith & His Orchestra,1,55,36157
60,60,Benny Goodman,1,56,270258
61,61,Lata Mangeshkar,18,68,2316362
62,62,Dmitri Shostakovich,4,59,240472
63,63,Rosemary Clooney,1,54,90093
64,64,Django Reinhardt,9,57,286840
65,65,George Gershwin,10,56,190761
66,66,Disney Studio Chorus,19,54,48949
67,67,The Chordettes,1,56,76444
68,68,Dizzy Gillespie,9,55,318850
69,69,Aaron Copland,10,52,68025
70,70,Giuseppe Verdi,4,62,428294
71,71,Jean Sibelius,4,58,152666
72,72,Richard Wagner,4,58,436454
73,73,Georges Bizet,4,58,162629
74,74,Tennessee Ernie Ford,20,52,42791
75,75,Sir Georg Solti,21,58,11315
76,76,Kishore Kumar,18,67,2239127
77,77,Béla Bartók,4,52,71280
78,78,Charles Mingus,22,53,326811
79,79,Sonny Rollins,9,54,238503
80,80,Igor Stravinsky,4,53,245639
81,81,Gustav Mahler,4,56,189952
82,82,Pierre Boulez,23,55,27693
83,83,The Mellomen,24,51,1766
84,84,S. P. Balasubrahmanyam,25,69,1043452
85,85,Concertgebouworkest,4,57,33430
86,86,Christoph Willibald Gluck,4,54,27408
87,87,Jaci Velasquez,26,56,79730
88,88,Charles Gounod,4,55,18751
89,89,Danny Kaye,27,49,27992
90,90,Eddy Arnold,1,49,52996
91,91,Johann Strauss II,4,57,311683
92,92,Paul Weston And His Orchestra,0,53,1237
93,93,Gioachino Rossini,4,56,145227
94,94,MGM Studio Orchestra,28,47,10149
95,95,Ray Price,17,48,87232
96,96,Lester Young,9,52,99549
97,97,Shekhar Ravjiani,25,63,119790
98,98,Benny Carter,9,51,16423
99,99,Ahmad Jamal,9,50,89780
100,46,New York Philharmonic,12,59,75324
101,47,Ray Conniff,1,62,176679
102,50,Thelonious Monk,9,58,459702
103,53,Franz Joseph Haydn,4,59,431028
104,54,Arthur Fiedler,15,55,5899
105,100,Edward Elgar,29,59,119006
106,101,The Dave Brubeck Quartet,9,59,164782
107,57,Eugene Ormandy,14,57,8077
108,59,Percy Faith & His Orchestra,1,55,36157
109,102,Charlie Parker,9,57,427047
110,61,Lata Mangeshkar,18,68,2316362
111,103,Chicago Symphony Orchestra,12,59,50737
112,62,Dmitri Shostakovich,4,59,240472
113,63,Rosemary Clooney,1,54,90093
114,104,Dick Van Dyke,30,54,21693
115,105,June Carter Cash,0,55,29644
116,106,Sarah Vaughan,1,57,446386
117,67,The Chordettes,1,56,76444
118,68,Dizzy Gillespie,9,55,318850
119,107,Leroy Anderson,10,52,6679
120,70,Giuseppe Verdi,4,62,428294
121,71,Jean Sibelius,4,58,152666
122,72,Richard Wagner,4,58,436454
123,73,Georges Bizet,4,58,162629
124,75,Sir Georg Solti,21,58,11315
125,76,Kishore Kumar,18,67,2239127
126,81,Gustav Mahler,4,56,189952
127,108,Jimmy Durante,1,51,73044
128,109,Mstislav Rostropovich,4,54,43211
129,84,S. P. Balasubrahmanyam,25,69,1043452
130,85,Concertgebouworkest,4,57,33430
131,110,Maurizio Pollini,4,55,38906
132,86,Christoph Willibald Gluck,4,54,27408
133,88,Charles Gounod,4,55,18751
134,89,Danny Kaye,27,49,27992
135,111,Karl Böhm,14,56,6917
136,92,Paul Weston And His Orchestra,0,53,1237
137,93,Gioachino Rossini,4,56,145227
138,112,Domenico Scarlatti,2,53,97063
139,94,MGM Studio Orchestra,28,47,10149
140,113,Franz Xaver Gruber,0,52,1090
141,97,Shekhar Ravjiani,25,63,119790
142,114,Fairuz,31,58,607918
143,115,Erroll Garner,1,52,61393
144,116,Coleman Hawkins,9,52,92495
145,117,Adolphe Adam,32,54,3767
146,118,Jean-Philippe Rameau,2,53,50996
147,119,Jules Massenet,4,52,21158
148,120,Asha Bhosle,33,62,1659584
149,121,MGM Studio Chorus,0,45,1238
150,122,Oscar Peterson Trio,1,60,122611
151,45,Giacomo Puccini,4,64,298549
152,46,New York Philharmonic,12,59,75324
153,123,Glenn Gould,34,62,169204
154,50,Thelonious Monk,9,58,459702
155,124,Gayla Peevey,35,54,2724
156,51,Boston Symphony Orchestra,12,59,41231
157,125,Édith Piaf,36,64,749040
158,52,Philharmonia Orchestra,3,61,42577
159,53,Franz Joseph Haydn,4,59,431028
160,54,Arthur Fiedler,15,55,5899
161,126,Ralph Vaughan Williams,4,57,69754
162,100,Edward Elgar,29,59,119006
163,127,Dinah Washington,1,60,313395
164,101,The Dave Brubeck Quartet,9,59,164782
165,57,Eugene Ormandy,14,57,8077
166,58,Sergei Prokofiev,4,58,174146
167,59,Percy Faith & His Orchestra,1,55,36157
168,60,Benny Goodman,1,56,270258
169,102,Charlie Parker,9,57,427047
170,61,Lata Mangeshkar,18,68,2316362
171,128,Seiji Ozawa,14,57,38172
172,103,Chicago Symphony Orchestra,12,59,50737
173,129,Philippe Entremont,14,56,2488
174,64,Django Reinhardt,9,57,286840
175,65,George Gershwin,10,56,190761
176,130,Cass County Boys,0,53,165
177,68,Dizzy Gillespie,9,55,318850
178,107,Leroy Anderson,10,52,6679
179,69,Aaron Copland,10,52,68025
180,70,Giuseppe Verdi,4,62,428294
181,71,Jean Sibelius,4,58,152666
182,72,Richard Wagner,4,58,436454
183,73,Georges Bizet,4,58,162629
184,74,Tennessee Ernie Ford,20,52,42791
185,75,Sir Georg Solti,21,58,11315
186,76,Kishore Kumar,18,67,2239127
187,77,Béla Bartók,4,52,71280
188,78,Charles Mingus,22,53,326811
189,79,Sonny Rollins,9,54,238503
190,80,Igor Stravinsky,4,53,245639
191,81,Gustav Mahler,4,56,189952
192,109,Mstislav Rostropovich,4,54,43211
193,85,Concertgebouworkest,4,57,33430
194,86,Christoph Willibald Gluck,4,54,27408
195,131,Tommy Dorsey,1,50,77968
196,88,Charles Gounod,4,55,18751
197,132,The Chords,37,52,12645
198,91,Johann Strauss II,4,57,311683
199,111,Karl Böhm,14,56,6917
200,133,English Chamber Orchestra,3,66,14110
