,id,genre
0,0,-
1,1,adult standards
2,2,baroque
3,3,british orchestra
4,4,classical
5,5,sleep
6,6,drama
7,7,austrian orchestra
8,8,cowboy western
9,9,bebop
10,10,american modern classical
11,11,mariachi
12,12,american orchestra
13,13,bolero
14,14,classical performance
15,15,easy listening
16,16,dub
17,17,country
18,18,classic bollywood
19,19,disney
20,20,bluegrass gospel
21,21,orchestral performance
22,22,avant-garde jazz
23,23,acousmatic
24,24,movie tunes
25,25,filmi
26,26,christian music
27,27,comic
28,28,classic soundtrack
29,29,british modern classical
30,30,hollywood
31,31,arab pop
32,32,early romantic era
33,33,chutney
34,34,canadian classical piano
35,35,novelty
36,36,chanson
37,37,doo-wop
38,38,bossa nova
39,39,desi hip hop
40,40,album rock
41,41,spirituals
42,42,orchestra
43,43,dance rock
44,44,folk
45,45,blues
46,46,cha-cha-cha
47,47,american choir
48,48,dance pop
49,49,classic soul
50,50,canadian singer-songwriter
51,51,art rock
52,52,musica jibara
53,53,children's music
54,54,canzone napoletana
55,55,country gospel
56,56,permanent wave
57,57,latin
58,58,broadway
59,59,europop
60,60,choral
61,61,acoustic pop
62,62,desi pop
63,63,brill building pop
64,64,arkansas country
65,65,british choir
66,66,funk
67,67,boogaloo
68,68,blues rock
69,69,cambridge choir
70,70,bakersfield sound
71,71,disco
72,72,classic rock
73,73,cumbia
74,74,alternative rock
75,75,beatlesque
76,76,acid rock
77,77,classical cello
78,78,british folk
79,79,art pop
80,80,motown
81,81,bluegrass
82,82,mellow gold
83,83,chicago soul
84,84,experimental
85,85,norteno
86,86,soundtrack
87,87,chicano rap
88,88,post-romantic era
89,89,grupera
90,90,k-pop
91,91,alternative country
92,92,atl hip hop
93,93,cancion melodica
94,94,jazz funk
95,95,country rock
96,96,contemporary country
97,97,glam punk
98,98,canadian children's music
99,99,art punk
100,100,candy pop
101,101,heartland rock
102,102,corrido
103,103,smooth jazz
104,104,background music
105,105,british soul
106,106,glam metal
107,107,canadian pop
108,108,australian dance
109,109,celtic
110,110,big room
111,111,conscious hip hop
112,112,light music
113,113,alternative metal
114,114,cali rap
115,115,latin pop
116,116,irish rock
117,117,boy band
118,118,german soundtrack
119,119,banda
120,120,ccm
121,121,bow pop
122,122,canadian country
123,123,jam band
124,124,gruperas inmortales
125,125,classic country pop
126,126,reggae fusion
127,127,g funk
128,128,reggae
129,129,baroque pop
130,130,east coast hip hop
131,131,gangster rap
132,132,australian country
133,133,colombian pop
134,134,rap rock
135,135,electro house
136,136,crunk
137,137,dirty south rap
138,138,hip pop
139,139,hip hop
140,140,complextro
141,141,neo mellow
142,142,alternative dance
143,143,electro
144,144,pop rap
145,145,country rap
146,146,bachata
147,147,pop punk
148,148,modern rock
149,149,melodic metalcore
150,150,emo
151,151,pop
152,152,rock-and-roll
153,153,indie rock
154,154,alternative hip hop
155,155,hard rock
156,156,boston hip hop
157,157,eau claire indie
158,158,garage rock
159,159,glam rock
160,160,australian psych
161,161,alternative r&b
162,162,electropop
163,163,chicago rap
164,164,baton rouge rap
165,165,bmore
166,166,hawaiian hip hop
167,167,kentucky indie
168,168,modern alternative rock
169,169,show tunes
170,170,edm
171,171,reggaeton
172,172,memphis hip hop
173,173,canadian hip hop
174,174,melodic rap
175,175,kentucky hip hop
176,176,dmv rap
177,177,florida rap
178,178,deep underground hip hop
179,179,trap latino
180,180,a cappella
181,181,dark trap
182,182,bedroom pop
183,183,brostep
184,184,detroit hip hop
185,185,rap
186,186,barbadian pop
187,187,brooklyn drill
