,track_id,track_name,track_album,track_artist,track_duration_ms,track_popularity
0,0,Someone To Watch Over Me,0,4,196666,56
1,1,I've Got A Crush On You,0,4,196440,55
2,2,Stardust,1,727,146346,44
3,3,If You've Got the Money I've Got the Time,2,728,179306,43
4,4,Powder Your Face With Sunshine (Smile! Smile! Smile!),3,1,155106,37
5,5,Night on Bald Mountain,4,729,659560,31
6,6,The Yellow Rose of Texas - Single Version,5,730,181066,36
7,7,Always Late (With Your Kisses),6,728,184040,31
8,8,"Piano Sonata in B Minor, S. 178: II. Andante sostenuto",7,34,361960,39
9,9,El Nido,8,731,179573,28
10,10,A la Luz del Día,9,732,163266,32
11,11,OPM Medley: When I Met You,10,733,557986,45
12,12,El Botones,11,731,156306,28
13,13,Tea for Two (with Axel Stordahl & His Orchestra),12,37,191306,38
14,14,Pena Negra,8,731,178866,26
15,15,Los Aretes de la Luna,11,731,157800,26
16,16,I Love You a Thousand Ways,6,728,163000,28
17,17,El Mudo,11,731,139626,26
18,18,Canela Pura,13,731,174200,38
19,19,El Ladrón,11,731,166066,25
20,20,It Had To Be You,14,734,191213,30
21,21,Always Late (With Your Kisses),2,728,191360,33
22,22,Everyday Is Christmas,15,735,201733,27
23,23,Amor de Cabaret,11,731,173933,24
24,24,"Doctor, Lawyer, Indian Chief",14,734,186186,27
25,25,Laberinto,13,736,186826,39
26,26,Melodie D'Amour,16,737,157240,26
27,27,Enemigos,13,736,166693,39
28,28,La Boa,11,731,175133,22
29,29,Luces de Nueva York - Remasterizado,11,731,185400,22
30,30,Corazón de Acero,8,731,169466,21
31,31,Ya No Vuelvas Conmigo,8,731,162826,21
32,32,Tita,11,731,173866,21
33,33,Ataypura!,17,738,184266,28
34,34,Por Las Calles De México,11,731,166093,20
35,35,El Caballo Blanco,18,33,159293,21
36,36,The Money Song,3,1,190400,24
37,37,I Love You a Thousand Ways,2,728,168373,30
38,38,The Thing,16,739,139506,19
39,39,Tarra Ta-Larra Ta-Lar,3,1,183200,23
40,40,Por un Puñado de Oro,8,731,168600,19
41,41,Besame Mucho,19,740,176902,26
42,42,Zing-A Zing-A Zing Boom,3,1,135293,23
43,43,You Was - Remastered,3,1,169933,26
44,44,That Lucky Old Sun (Just Rolls Around Heaven All Day),3,1,183666,30
45,45,Stuff Like That There,14,734,179933,23
46,46,But Not For Me,0,4,195133,25
47,47,I Don't Care If The Sun Don't Shine,3,1,117626,32
48,48,My One And Only,0,4,196960,25
49,49,How Long Has This Been Going On?,0,4,197666,25
50,50,Mood Indigo,20,188,926360,22
51,51,Amarga Navidad,21,33,196986,18
52,52,Mambo Mucho Mambo,22,741,181173,20
53,53,Pearl Pearl Pearl,23,742,129288,17
54,54,Thelonious - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster,24,50,181506,23
55,55,Foggy Mountain Breakdown,23,742,140109,17
56,56,Evonce - Rudy Van Gelder 24-Bit Mastering / 2001 Digital Remaster,24,50,184840,22
57,57,I'm Confessin' (That I Love You),25,743,171693,20
58,58,Adeste Fideles,26,95,156306,17
59,59,Lady Bird,27,744,171123,23
60,60,Well You Needn't - Remastered,24,50,179586,22
61,61,The Ballad of Jed Clampett,23,742,123666,16
62,62,A la gran muñeca,28,745,164834,37
63,63,Tú y la Mentira,21,33,140333,16
64,64,Angel Band,29,742,151493,17
65,65,The World Is Waiting for the Sunrise,30,67,180133,21
66,66,I'll Always Love You (Day After Day),31,1,156973,22
67,67,When the Angels Carry Me Home,29,742,138040,16
68,68,April In Paris,32,746,190240,22
69,69,Evonce - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,24,50,183826,21
70,70,Monk's Mood - Rudy Van Gelder 24-Bit Mastering / 2001 Digital Remaster,24,50,190413,21
71,71,"So Sorry, Please",32,746,195280,23
72,72,Suburban Eyes - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,24,50,178533,21
73,73,Off Minor - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster,24,50,183026,20
74,74,I'm Forever Blowing Bubbles,25,743,179066,20
75,75,Well You Needn't - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,24,50,177346,20
76,76,Black Beauty,33,99,205413,19
77,77,Blue Christmas,26,747,155520,15
78,78,You Are My Flower,23,742,149675,14
79,79,Anema E Core,34,748,213493,23
80,80,Introspection - Rudy Van Gelder 24-Bit Mastering / 1998 Digital Remaster,24,50,193373,20
81,81,In Walked Bud - Rudy Van Gelder Edition / Remastered 1998,24,50,177533,19
82,82,Nice Work If You Can Get It - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,24,50,183666,19
83,83,Perfidia,33,99,234693,19
84,84,Ruby My Dear - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,24,50,187386,19
85,85,(Ma Come Bali) Bella Bimba,31,1,169600,20
86,86,"Brother, I'm Getting Ready to Go",29,742,160493,15
87,87,The Old Fashioned Preacher,29,749,158933,16
88,88,Cuatro Copas,21,33,196360,14
89,89,Christmas Story (with Paul Weston & His Orchestra & The Norman Luboff Choir),35,37,189213,16
90,90,Go Go Go Go,31,1,143066,21
91,91,Who Knows? - Rudy Van Gelder 24-Bit Mastering / 2001 Digital Remaster,24,50,165280,20
92,92,Autumn Leaves,33,99,159720,18
93,93,April In Paris - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,24,50,162733,19
94,94,Tu Enamorado,21,33,177040,13
95,95,The Tattooed Bride,20,188,701426,17
96,96,Squeeze Me,33,99,229346,17
97,97,Castle Rock,36,750,173493,22
98,98,I've Got A Crush On You - Outtake,37,751,166973,18
99,99,Sophisticated Lady,20,188,687866,17
100,100,Blues In The Closet,38,752,169173,25
101,101,Delicado,39,59,171333,27
102,102,Black Is the Color,40,753,136733,25
103,103,Carolina Moon,41,67,135440,25
104,104,You Go To My Head,42,746,196353,25
105,105,My Funny Valentine,43,754,202026,22
106,106,Broadway Melody Ballet,44,751,411866,24
107,107,Devil Woman,45,23,171693,23
108,108,Body And Soul,43,754,196506,21
109,109,Singing The Blues,45,23,145800,23
110,110,Here Comes Santa Claus (Right Down Santa Claus Lane),46,755,135373,21
111,111,Bloomdido,47,102,209826,25
112,112,A White Sport Coat (And a Pink Carnation) (with Ray Conniff),45,23,148466,23
113,113,But Not For Me,43,754,169386,21
